right_arm_angle,left_arm_angle,left_waist_angle,right_waist_angle,step_length,step_speed,bent_angle,height
14.95,34.73,139.87,176.24,242.54,0.0,175.21,492.64
9.19,25.28,135.07,177.13,233.5,0.0,174.94,484.3
2.6,22.08,141.26,179.88,220.74,0.0,177.03,483.98
4.67,11.71,143.82,179.6,191.41,0.0,177.0,487.57
11.48,5.81,149.54,179.91,158.29,0.0,177.87,489.4
19.81,1.73,153.02,178.61,133.81,0.0,177.84,491.9
29.42,0.4,160.58,178.6,105.12,0.0,179.69,499.32
35.69,1.91,167.86,179.85,67.01,0.0,179.69,504.83
43.04,2.53,175.74,179.26,37.22,0.0,179.08,510.79
48.78,1.79,178.59,178.25,30.23,271.23,179.69,514.64
51.4,9.36,177.81,177.0,25.94,0.0,179.69,514.5
54.17,13.41,178.28,174.19,58.87,0.0,179.39,514.78
56.45,14.0,178.24,175.98,45.61,0.0,179.08,512.27
57.76,15.62,175.25,173.25,90.27,0.0,178.78,514.28
56.71,13.9,178.58,169.69,92.0,0.0,178.16,519.87
56.66,1.44,179.17,168.77,97.08,0.0,179.38,523.78
55.88,6.57,175.23,167.95,124.02,0.0,179.69,519.36
54.01,5.73,178.69,165.02,128.06,0.0,179.38,517.71
48.48,1.17,178.51,163.14,125.04,0.0,180.0,515.4
42.33,1.54,178.82,162.92,123.02,230.77,179.38,512.93
38.24,0.24,179.73,161.27,126.4,0.0,179.69,507.29
28.05,2.81,179.27,160.55,115.41,0.0,179.69,504.37
18.04,0.58,179.48,162.86,102.39,0.0,179.08,500.3
10.14,6.73,179.6,166.12,86.59,0.0,178.46,499.7
3.51,11.73,179.14,168.71,62.82,0.0,176.89,500.71
3.46,14.15,176.49,173.9,43.1,0.0,175.31,496.98
10.41,18.24,176.05,174.56,33.38,0.0,176.21,501.2
16.07,21.66,173.83,176.68,29.53,0.0,175.24,506.19
20.04,25.29,170.8,179.29,25.0,0.0,173.66,512.18
24.23,26.98,170.12,177.41,17.46,97.4,172.76,513.34
27.47,28.67,169.21,174.51,17.89,0.0,172.49,515.26
29.63,29.17,169.6,173.92,19.42,0.0,172.8,515.82
30.67,29.24,169.86,174.38,18.79,0.0,172.87,517.43
30.8,28.79,170.71,175.23,19.24,0.0,173.52,520.22
30.5,27.95,171.62,175.76,18.25,0.0,173.86,521.01
29.04,27.31,172.11,176.65,16.0,0.0,174.47,522.0
27.19,26.36,172.2,176.9,11.4,0.0,174.41,524.02
25.82,25.08,171.88,177.48,11.66,0.0,174.69,525.1
23.22,22.86,173.56,178.12,14.14,0.0,175.39,527.21
19.52,21.22,175.14,178.38,13.6,52.45,176.04,526.34
17.04,20.75,175.56,179.2,15.0,0.0,176.35,527.55
15.12,20.01,175.96,179.61,20.52,0.0,177.26,527.8
15.15,18.94,175.75,179.13,24.7,0.0,177.59,529.23
15.55,18.79,174.11,179.24,28.23,0.0,177.9,530.83
15.61,18.05,172.65,179.65,32.57,0.0,177.9,532.45
15.99,17.02,169.87,179.97,40.01,0.0,178.2,541.56
17.04,15.98,168.44,179.92,49.65,0.0,178.19,547.24
18.24,15.96,167.16,179.98,53.76,0.0,177.89,544.65
19.78,15.33,166.55,179.84,56.09,0.0,177.88,547.03
21.03,14.28,166.6,179.71,57.27,1.5,177.89,547.03
21.73,13.26,166.64,178.6,51.97,0.0,177.9,547.16
21.91,11.14,166.66,177.83,51.42,0.0,177.65,548.29
21.22,9.77,165.92,177.03,52.39,0.0,177.12,546.45
19.83,7.64,166.34,177.0,58.25,0.0,177.17,546.31
17.1,5.67,166.69,178.94,71.02,0.0,177.18,546.89
14.1,2.6,166.5,178.25,91.79,0.0,177.17,547.49
8.64,0.74,166.5,176.18,114.74,0.0,178.02,546.63
4.36,4.35,167.14,173.25,135.62,0.0,178.28,546.37
2.47,6.6,168.13,171.67,151.56,0.0,178.85,546.37
1.59,9.62,166.69,168.87,178.55,-85.41,178.85,543.9
0.25,11.99,164.65,167.2,195.43,0.0,178.55,540.57
0.62,13.61,164.18,164.41,209.4,0.0,179.42,537.82
0.61,14.39,161.75,163.27,219.39,0.0,180.0,537.45
0.0,17.24,162.23,162.4,228.32,0.0,178.86,537.4
1.23,19.51,161.45,163.26,227.22,0.0,178.58,537.09
2.49,20.63,159.69,164.12,228.14,0.0,178.01,539.35
0.02,19.2,156.48,166.17,228.04,0.0,178.0,541.7
0.64,17.64,153.87,169.63,226.0,0.0,178.28,542.83
4.66,16.49,150.72,173.73,222.44,0.0,178.56,540.39
4.95,12.25,146.83,176.37,209.12,-328.17,179.42,532.02
1.05,9.43,145.22,176.04,197.25,0.0,179.42,527.64
1.68,6.94,149.18,179.74,172.07,0.0,179.7,530.01
0.1,3.1,152.02,178.99,138.92,0.0,180.0,535.52
12.01,0.25,159.42,179.4,88.23,0.0,179.08,530.0
20.27,3.88,167.12,176.18,37.74,0.0,179.69,528.73
27.29,7.45,170.42,172.55,2.83,0.0,179.07,538.0
34.76,11.6,171.77,174.2,17.0,0.0,178.45,535.79
39.96,11.17,171.85,176.49,54.23,0.0,179.69,533.61
47.36,15.12,175.08,179.28,7.81,0.0,179.39,536.33
54.81,17.41,166.11,174.37,153.33,-329.67,180.0,535.57
59.43,18.6,160.6,169.15,206.87,0.0,179.7,531.74
62.95,19.53,156.37,167.6,239.64,0.0,179.1,524.85
66.1,20.34,156.44,166.97,250.92,0.0,178.48,520.41
66.29,19.83,158.15,163.98,256.76,0.0,179.09,520.47
64.88,20.45,163.32,160.93,252.67,0.0,179.4,520.58
60.21,17.68,164.46,154.1,249.26,0.0,179.7,522.17
54.47,14.62,145.45,166.06,226.11,0.0,178.5,520.5
50.75,13.39,176.3,153.56,176.48,0.0,178.21,511.1
41.4,7.57,175.61,144.13,189.84,0.0,177.32,503.29
31.91,1.8,146.01,177.17,168.18,-427.07,178.75,479.33
27.9,4.9,177.1,161.55,115.38,0.0,179.02,484.81
8.41,11.41,179.62,153.55,144.06,0.0,179.68,490.37
0.94,18.25,177.79,158.06,112.61,0.0,179.35,497.36
0.03,24.93,174.01,168.16,64.07,0.0,179.04,499.98
1.04,30.76,173.48,168.33,55.01,0.0,179.36,500.34
14.13,39.01,175.91,170.85,50.57,0.0,178.73,499.66
9.13,44.63,174.45,173.88,50.45,0.0,178.43,506.44
17.22,46.97,170.03,178.18,95.8,0.0,177.5,509.78
22.56,50.58,168.62,172.01,144.89,0.0,177.29,515.15
25.64,53.23,165.94,164.73,187.68,-361.14,178.25,512.98
27.58,54.52,162.72,157.86,218.92,0.0,179.42,509.99
27.15,54.09,159.95,157.48,226.97,0.0,179.43,505.58
27.2,54.46,158.19,160.6,228.49,0.0,179.71,504.95
25.87,51.73,153.6,164.12,231.11,0.0,179.42,505.74
22.02,47.97,148.93,167.69,233.01,0.0,178.85,508.04
19.51,42.65,145.27,173.68,224.98,0.0,177.96,501.69
3.98,37.67,145.46,175.24,207.4,0.0,179.4,492.54
8.24,30.08,146.56,176.97,179.2,0.0,179.08,482.48
1.43,20.65,148.03,176.56,153.84,0.0,179.06,485.0
0.24,13.33,151.53,179.84,122.19,-413.59,178.41,491.27
8.44,7.04,156.98,176.82,78.82,0.0,178.13,494.26
17.55,0.88,167.52,171.56,13.0,0.0,178.11,493.37
32.66,4.55,171.76,174.52,17.46,0.0,178.75,497.24
40.11,8.5,177.49,176.17,45.28,0.0,178.75,502.13
43.65,12.54,176.46,170.54,96.01,0.0,177.51,508.09
50.42,13.9,167.16,170.25,151.03,0.0,178.45,512.0
54.47,13.29,160.69,167.46,188.1,0.0,178.77,506.72
57.5,13.51,157.64,166.22,214.11,0.0,179.7,502.9
57.95,12.07,157.07,162.33,224.22,0.0,180.0,500.44
57.37,11.51,161.85,157.88,225.11,-377.62,178.45,499.51
55.3,9.52,168.26,153.29,214.06,0.0,177.51,500.92
49.02,6.7,145.28,168.73,208.09,0.0,175.96,502.25
43.88,4.85,152.29,170.43,70.0,0.0,175.98,503.08
35.91,1.14,179.35,145.87,179.01,0.0,175.41,484.51
27.15,4.42,179.17,142.34,190.71,0.0,175.65,477.15
7.78,12.72,178.87,143.61,171.83,0.0,176.42,479.5
6.53,19.36,177.47,150.41,144.62,0.0,177.07,479.33
4.01,25.57,174.97,154.02,119.52,0.0,177.11,479.15
4.94,32.67,174.1,166.85,77.88,0.0,178.08,473.97
6.68,38.56,171.99,168.86,50.64,-380.62,177.77,482.19
10.12,45.25,173.81,168.94,47.85,0.0,176.5,490.33
18.27,52.38,176.57,170.59,47.71,0.0,177.46,499.62
26.76,55.56,173.49,176.39,104.09,0.0,175.91,502.76
32.9,60.17,175.05,177.88,148.41,0.0,176.89,502.96
34.3,62.88,174.09,170.52,185.61,0.0,178.45,502.78
37.73,64.73,172.23,168.14,207.7,0.0,178.77,498.84
38.69,66.17,170.93,171.05,209.69,0.0,178.77,495.62
37.49,64.0,167.6,175.43,204.3,0.0,177.84,495.53
34.99,60.88,160.64,178.56,203.04,0.0,176.65,493.91
30.89,54.66,155.71,178.36,201.04,-386.61,175.74,492.01
22.69,46.07,150.57,178.51,189.4,0.0,176.63,482.19
14.88,37.74,148.66,177.68,167.61,0.0,177.14,471.5
7.34,29.85,145.59,177.96,148.38,0.0,174.98,464.1
11.68,22.4,147.57,178.2,126.4,0.0,175.18,462.79
10.85,16.91,152.52,176.39,106.89,0.0,175.43,463.02
11.85,12.64,160.98,175.9,75.29,0.0,176.12,462.65
44.57,7.51,161.11,172.15,49.24,0.0,175.24,461.05
35.89,3.23,166.83,172.88,20.62,0.0,176.58,480.28
31.55,1.52,173.1,174.46,37.66,0.0,176.86,487.27
33.58,4.71,179.99,174.25,67.0,-304.2,177.17,493.04
38.3,7.85,172.6,170.6,120.04,0.0,176.87,497.4
42.82,9.02,167.07,170.46,155.08,0.0,178.12,499.29
46.51,8.09,162.79,169.34,179.01,0.0,179.06,499.36
49.59,7.49,163.08,168.14,190.0,0.0,179.37,496.44
51.01,5.05,163.24,166.64,192.04,0.0,180.0,496.85
46.31,3.54,165.86,162.78,191.13,0.0,180.0,494.79
44.39,0.66,167.47,159.61,190.32,0.0,180.0,492.86
37.86,3.23,169.23,155.5,189.95,0.0,179.69,489.47
35.79,7.41,172.83,151.4,181.41,0.0,178.74,481.41
42.28,12.06,172.28,150.36,171.45,-305.69,179.05,475.12
13.56,16.11,174.91,151.78,156.02,0.0,178.06,471.38
10.55,21.96,173.69,156.3,134.46,0.0,179.01,473.48
12.5,27.05,172.95,160.93,111.49,0.0,179.67,474.44
10.67,31.12,174.37,165.81,77.37,0.0,179.67,479.61
9.89,36.01,172.47,172.96,50.77,0.0,178.34,484.48
11.11,39.06,173.89,176.47,29.07,0.0,178.67,488.56
17.08,40.89,172.56,178.41,17.03,0.0,178.33,493.69
21.71,44.22,171.98,179.12,14.32,0.0,178.01,495.2
26.58,46.55,173.07,177.49,30.53,0.0,179.03,494.0
30.05,47.32,173.68,177.11,34.18,-172.33,180.0,493.03
32.35,47.47,174.45,178.01,34.93,0.0,179.36,490.15
33.32,45.9,177.63,179.57,37.48,0.0,177.75,488.3
37.06,48.2,170.51,171.0,18.11,0.0,177.11,483.37
35.68,46.25,171.54,172.96,22.09,0.0,177.41,483.46
37.11,44.43,171.95,168.99,21.21,0.0,176.42,482.55
32.68,40.34,175.83,172.09,25.02,0.0,176.75,482.6
27.37,34.91,177.86,172.99,21.21,0.0,175.32,479.55
24.49,29.56,177.32,173.15,16.0,0.0,174.93,467.96
20.95,25.14,179.62,173.36,13.89,0.0,174.9,464.48
18.21,21.59,178.26,173.46,15.26,-82.42,175.21,459.57
15.8,19.17,177.88,172.57,29.15,0.0,175.87,448.58
15.53,17.66,176.02,170.31,21.21,0.0,175.84,445.17
14.64,14.92,171.83,173.25,38.33,0.0,175.82,449.3
13.92,14.43,170.07,174.67,46.17,0.0,175.44,458.14
13.52,13.08,169.55,177.15,42.49,0.0,175.79,459.15
13.44,12.2,169.4,178.23,41.88,0.0,175.47,460.89
15.36,10.18,170.43,177.3,42.2,0.0,175.5,457.97
17.88,9.86,171.26,176.48,42.2,0.0,175.12,456.76
19.47,9.02,172.43,176.67,39.05,0.0,175.87,457.29
23.94,6.31,173.27,176.08,39.2,-49.45,175.84,458.05
27.67,1.72,173.95,175.44,40.8,0.0,175.84,454.9
29.62,5.16,176.28,177.05,38.28,0.0,175.87,452.73
31.78,7.39,179.32,177.69,36.72,0.0,175.18,454.47
32.16,7.45,178.37,178.57,37.58,0.0,174.46,456.21
32.22,9.47,176.82,178.08,36.4,0.0,173.74,456.43
31.61,6.82,175.84,178.63,30.68,0.0,173.39,456.1
28.24,6.41,175.73,178.87,24.35,0.0,173.09,456.32
24.39,5.02,176.95,179.44,15.65,0.0,173.39,455.79
18.33,4.01,178.27,177.57,11.7,0.0,174.39,454.82
13.95,3.69,179.65,176.12,5.66,-23.98,174.77,455.27
10.22,2.26,176.06,174.27,4.0,0.0,176.16,455.74
5.45,11.86,176.24,172.86,6.71,0.0,176.16,458.15
1.7,18.35,178.38,173.64,7.21,0.0,174.68,462.04
3.12,23.53,179.56,174.52,7.21,0.0,173.97,463.01
5.25,27.71,178.87,175.19,7.62,0.0,173.23,463.01
8.07,32.01,178.71,174.31,7.62,0.0,173.86,463.75
12.09,33.4,179.96,171.78,10.2,0.0,175.3,465.47
15.05,36.21,179.31,171.09,10.2,0.0,175.27,465.47
17.1,39.93,179.55,170.93,10.05,0.0,175.3,465.7
18.12,41.37,179.61,171.37,10.05,26.97,174.9,467.64
18.31,42.97,179.16,172.37,10.0,0.0,174.54,467.64
18.54,44.32,179.2,173.13,11.18,0.0,174.18,464.49
18.55,44.57,178.59,173.43,11.18,0.0,174.54,465.47
18.12,42.52,177.18,173.15,7.28,0.0,175.3,464.04
18.05,38.16,174.76,170.93,7.81,0.0,176.76,465.01
18.52,34.94,172.74,168.37,11.4,0.0,178.22,463.81
19.35,31.54,171.2,165.97,14.87,0.0,179.31,464.34
16.84,28.15,170.89,164.01,17.69,0.0,180.0,464.34
12.1,22.96,167.45,163.42,25.0,0.0,179.01,464.34
7.65,16.75,167.37,164.55,27.66,80.92,179.35,462.71
4.39,12.18,169.63,166.71,28.02,0.0,180.0,460.29
0.27,3.39,172.82,167.06,47.17,0.0,180.0,457.77
4.5,2.34,177.03,164.24,69.12,0.0,178.71,462.46
8.77,3.84,178.03,164.96,88.81,0.0,179.34,467.42
14.12,3.11,171.4,164.76,115.21,0.0,179.67,468.39
22.05,1.31,168.84,166.13,136.01,0.0,179.66,471.34
27.74,2.04,164.53,163.52,156.03,0.0,180.0,469.78
34.44,3.95,161.64,163.89,177.1,0.0,179.66,467.37
39.97,5.36,161.06,163.17,185.13,0.0,179.66,464.49
44.61,0.41,160.36,161.61,194.09,124.38,178.98,464.04
47.51,5.25,161.53,160.9,196.02,0.0,178.64,464.16
48.93,1.86,163.18,159.48,196.0,0.0,177.95,465.76
47.89,1.29,164.34,157.08,196.12,0.0,177.61,466.62
44.44,4.0,167.49,152.94,196.37,0.0,178.64,466.57
42.99,1.53,170.59,151.14,194.83,0.0,178.64,465.54
36.3,4.44,172.04,149.74,186.27,0.0,177.95,464.22
27.6,8.28,174.85,146.14,177.05,0.0,178.64,462.52
18.37,1.8,178.53,145.58,163.98,0.0,179.32,459.67
12.42,11.53,179.77,148.21,152.05,0.0,178.94,458.45
7.62,18.35,179.84,148.63,134.33,298.2,179.64,458.9
2.26,23.15,178.65,152.28,110.21,0.0,179.64,458.88
4.37,29.7,178.58,156.49,84.29,0.0,178.93,459.86
10.32,36.6,178.19,165.41,24.17,0.0,178.57,458.94
15.16,43.45,178.25,170.19,5.1,0.0,177.49,469.91
20.33,52.02,177.73,176.21,33.24,0.0,175.68,473.33
25.14,54.85,179.17,178.64,77.41,0.0,176.74,478.45
30.41,58.97,178.71,173.04,121.7,0.0,176.76,481.75
33.42,60.6,176.04,168.37,153.64,0.0,176.84,481.04
36.79,62.69,173.27,167.69,175.48,0.0,177.59,476.95
40.68,63.81,171.44,170.21,187.68,275.72,178.29,475.55
40.46,63.85,170.19,172.79,192.84,0.0,178.27,475.33
38.61,61.45,166.33,176.23,192.38,0.0,179.31,476.93
35.6,58.61,162.18,178.44,188.4,0.0,179.65,474.96
26.94,50.07,157.35,177.85,175.11,0.0,180.0,470.49
20.2,41.77,152.77,178.64,166.23,0.0,179.65,461.07
15.0,33.53,150.29,175.65,153.32,0.0,177.95,458.13
7.88,23.6,176.2,148.7,98.81,0.0,176.95,456.56
0.24,16.19,154.14,170.83,71.59,0.0,176.32,455.62
6.98,8.85,154.05,173.32,77.1,0.0,175.99,457.19
15.26,1.0,157.88,170.87,60.08,359.64,175.63,463.44
23.07,0.24,166.81,170.02,48.1,0.0,175.65,466.83
31.36,3.27,171.93,169.96,55.07,0.0,175.32,475.19
36.72,3.31,177.48,165.51,95.04,0.0,175.99,482.6
41.66,2.14,171.34,162.65,131.19,0.0,176.1,484.91
48.93,4.6,166.0,162.95,169.19,0.0,177.11,482.5
53.16,2.35,161.58,160.65,198.25,0.0,177.77,478.51
53.16,5.83,174.55,171.37,64.78,0.0,178.4,475.33
50.35,7.92,158.73,166.04,187.07,0.0,178.06,475.96
50.5,5.58,167.54,153.28,170.01,0.0,177.09,475.33
47.33,5.59,169.44,145.23,195.21,350.65,176.48,474.96
42.25,1.7,176.82,141.58,198.58,0.0,174.57,469.7
33.76,2.4,178.34,138.67,184.84,0.0,173.94,464.25
26.31,6.09,172.83,138.67,176.79,0.0,173.48,455.88
17.77,7.32,168.95,140.68,156.08,0.0,172.71,450.57
10.3,7.04,170.58,146.41,126.25,0.0,174.59,451.88
4.77,17.92,168.87,152.9,78.24,0.0,175.6,461.07
0.75,21.85,163.5,161.64,14.14,0.0,175.21,461.89
4.94,31.08,167.09,163.57,5.83,0.0,175.91,471.54
11.25,39.33,171.46,169.26,37.05,0.0,176.92,477.86
16.64,46.54,172.1,176.58,82.22,349.15,178.3,486.1
22.17,50.29,170.17,175.89,129.56,0.0,178.3,492.54
